"ID,Date,Element,Data_Value"
"USW00094889,2014-11-12,TMAX,22"
"USC00208972,2009-04-29,TMIN,56"
"USC00200032,2008-05-26,TMAX,278"
"USC00205563,2005-11-11,TMAX,139"
"USC00200230,2014-02-27,TMAX,-106"
"USW00014833,2010-10-01,TMAX,194"
"USC00207308,2010-06-29,TMIN,144"
"USC00203712,2005-10-04,TMAX,289"
"USW00004848,2007-12-14,TMIN,-16"
"USC00200220,2011-04-21,TMAX,72"
"USC00205822,2013-01-16,TMAX,11"
"USC00205822,2008-05-29,TMIN,28"
"USC00203712,2008-10-17,TMIN,17"
"USC00205563,2006-05-14,TMAX,183"
"USC00200842,2006-05-14,TMAX,122"
"USC00205563,2014-12-07,TMAX,67"
"USC00205822,2008-09-07,TMAX,250"
"USC00205450,2006-04-22,TMIN,67"
"USC00203712,2008-02-22,TMAX,-44"
"USC00205563,2015-01-03,TMIN,-39"
"USC00201250,2011-03-28,TMIN,-78"
"USC00200230,2008-02-10,TMAX,-6"
"USC00207320,2008-02-03,TMIN,-39"
"USC00200228,2008-02-23,TMAX,11"
"USC00201250,2012-03-20,TMIN,100"
"USC00205822,2006-03-29,TMIN,-17"
"USC00202308,2006-05-11,TMAX,233"
"USW00014833,2012-03-31,TMAX,61"
"USW00014853,2010-07-25,TMAX,283"
"USC00205822,2014-12-09,TMIN,17"
"USC00203712,2015-03-17,TMAX,189"
"USC00205050,2012-03-20,TMIN,94"
"USW00094889,2007-08-04,TMIN,161"
"USC00202308,2010-07-24,TMIN,222"
"USC00200032,2015-06-06,TMIN,128"
"USC00203712,2013-08-23,TMAX,267"
"USC00200230,2008-05-26,TMAX,306"
"USC00200842,2005-08-06,TMIN,150"
"USC00205563,2010-01-19,TMIN,-28"
"USC00205822,2012-06-26,TMIN,89"
"USC00200842,2010-10-26,TMIN,144"
"USC00208202,2014-11-12,TMIN,0"
"USC00203712,2013-08-23,TMIN,128"
"USC00205050,2010-01-19,TMAX,17"
"USC00208972,2013-02-27,TMIN,-106"
"USC00200230,2008-02-10,TMIN,-172"
"USW00014833,2015-08-30,TMIN,178"
"USC00208080,2007-12-14,TMAX,6"
"USC00200842,2006-05-14,TMIN,72"
"USC00207308,2010-12-06,TMIN,-44"
"USC00202308,2015-08-30,TMIN,156"
"USC00205563,2015-01-03,TMAX,22"
"USC00208202,2014-11-12,TMAX,167"
"USW00014853,2014-03-09,TMAX,33"
"USC00200230,2008-05-26,TMIN,156"
"USC00208202,2008-05-04,TMIN,44"
"USC00200228,2010-01-20,TMIN,-33"
"USC00200032,2006-04-22,TMIN,28"
"USW00014853,2014-08-21,TMIN,178"
"USC00202308,2015-08-30,TMAX,261"
"USC00205822,2008-09-07,TMIN,139"
"USC00202308,2011-06-05,TMAX,339"
"USC00202308,2006-05-11,TMIN,150"
"USW00004848,2005-09-27,TMIN,78"
"USC00203712,2010-10-20,TMIN,6"
"USC00208080,2014-05-22,TMAX,294"
"USC00205050,2011-03-28,TMIN,-89"
"USC00202308,2005-12-18,TMAX,-44"
"USW00004848,2005-09-27,TMAX,211"
"USC00200228,2012-06-20,TMAX,350"
"USC00200230,2009-12-07,TMAX,0"
"USC00200230,2007-02-13,TMIN,-117"
"USC00200230,2015-04-01,TMIN,-17"
"USC00205050,2009-07-14,TMAX,261"
"USC00208202,2014-12-10,TMAX,33"
"USC00200032,2010-03-03,TMIN,-39"
"USC00200228,2006-12-21,TMIN,-50"
"USC00207312,2010-10-26,TMAX,222"
"USW00094889,2005-08-06,TMIN,133"
"USW00004848,2013-03-09,TMIN,-32"
"USC00205563,2010-03-07,TMIN,-67"
"USC00205822,2012-06-13,TMAX,283"
"USC00200228,2008-02-23,TMIN,-122"
"USW00004848,2008-12-08,TMAX,11"
"USC00200230,2007-02-13,TMAX,-33"
"USW00094889,2012-04-11,TMIN,6"
"USC00207308,2014-06-14,TMIN,33"
"USW00014833,2007-04-04,TMAX,139"
"USC00208972,2011-04-25,TMAX,167"
"USC00200032,2008-05-26,TMIN,172"
"USC00200220,2011-04-21,TMIN,0"
"USW00014853,2008-10-18,TMAX,139"
"USC00202308,2007-09-03,TMIN,144"
"USC00208972,2013-02-27,TMAX,39"
"USC00200032,2014-01-06,TMAX,-72"
"USC00200220,2010-01-24,TMIN,-17"
"USC00200220,2013-03-28,TMAX,100"
"USW00004848,2013-03-09,TMAX,106"
"USC00200228,2006-07-28,TMAX,283"
"USC00200032,2014-09-03,TMIN,139"
"USW00014833,2013-03-09,TMAX,61"
"USC00203712,2009-12-09,TMIN,-17"
"USC00208202,2009-04-05,TMIN,-17"
"USC00205451,2012-01-14,TMAX,-17"
"USC00205451,2012-01-14,TMIN,-72"
"USC00202308,2011-06-05,TMIN,189"
"USC00203712,2011-06-04,TMIN,133"
"USW00014833,2005-03-13,TMAX,-6"
"USC00205050,2012-03-20,TMAX,261"
"USC00207312,2014-06-27,TMAX,267"
"USC00203712,2011-06-04,TMAX,256"
"USW00004848,2009-04-09,TMAX,156"
"USC00202308,2007-09-03,TMAX,272"
"USW00004848,2013-12-18,TMAX,-10"
"USC00200220,2012-03-19,TMIN,100"
"USC00208202,2009-05-20,TMIN,72"
"USC00208202,2012-06-21,TMIN,189"
"USC00207320,2007-08-06,TMAX,328"
"USC00201502,2008-06-19,TMIN,78"
"USC00205563,2013-08-30,TMAX,289"
"USC00200220,2010-01-24,TMAX,50"
"USW00014833,2012-06-20,TMIN,222"
"USW00014833,2010-10-01,TMIN,50"
"USC00207308,2012-01-08,TMIN,-56"
"USC00208202,2012-01-14,TMAX,-22"
"USC00208202,2007-09-02,TMAX,267"
"USC00200032,2015-06-06,TMAX,233"
"USC00207320,2007-02-10,TMIN,-172"
"USC00208202,2007-09-02,TMIN,128"
"USW00004848,2014-12-05,TMAX,50"
"USC00200032,2005-12-13,TMIN,-117"
"USC00200842,2008-02-24,TMIN,-128"
"USC00208202,2014-12-10,TMIN,-22"
"USC00203712,2009-07-26,TMIN,156"
"USW00014833,2012-06-20,TMAX,328"
"USW00014853,2014-03-09,TMIN,-71"
"USC00205822,2013-07-18,TMAX,344"
"USC00202308,2005-03-13,TMAX,17"
"USC00208080,2009-08-20,TMAX,278"
"USW00014853,2015-05-17,TMIN,183"
"USC00207320,2006-04-19,TMAX,172"
"USW00004848,2008-09-08,TMAX,267"
"USC00207308,2006-01-01,TMIN,-6"
"USC00200842,2005-02-12,TMIN,-67"
"USC00208972,2012-03-27,TMAX,83"
"USC00201502,2008-04-30,TMIN,-33"
"USC00208972,2015-04-09,TMAX,67"
"USC00200842,2012-01-06,TMIN,-39"
"USC00200032,2007-12-15,TMIN,-56"
"USC00205451,2006-01-09,TMIN,-22"
"USC00208202,2008-05-04,TMAX,211"
"USC00200220,2009-04-29,TMAX,139"
"USC00208972,2009-04-29,TMAX,161"
"USC00205822,2010-09-30,TMIN,94"
"USC00208202,2005-06-03,TMAX,267"
"USC00205050,2015-01-05,TMIN,-139"
"USC00205050,2013-08-27,TMIN,183"
"USC00200230,2015-04-01,TMAX,183"
"USC00208080,2014-05-22,TMIN,128"
"USW00094889,2008-04-30,TMIN,-49"
"USC00207308,2014-06-14,TMAX,206"
"USC00208080,2009-08-20,TMIN,156"
"USW00004848,2014-12-05,TMIN,6"
"USC00205563,2013-03-03,TMIN,-61"
"USC00208202,2005-06-03,TMIN,156"
"USC00205050,2014-02-25,TMIN,-128"
"USC00205563,2014-12-07,TMIN,-56"
"USW00014833,2013-03-09,TMIN,-33"
"USC00203712,2013-07-17,TMIN,217"
"USW00014853,2008-10-18,TMIN,17"
"USC00203712,2015-03-17,TMIN,11"
"USC00207308,2010-06-29,TMAX,311"
"USC00200842,2008-02-24,TMAX,11"
"USC00200842,2013-01-18,TMAX,39"
"USC00207320,2008-02-03,TMAX,22"
"USC00208202,2013-02-27,TMAX,6"
"USC00208972,2014-04-16,TMIN,-83"
"USC00200220,2013-03-28,TMIN,-33"
"USC00203712,2010-10-20,TMAX,150"
"USC00208972,2015-05-27,TMAX,278"
"USW00014853,2012-06-21,TMAX,367"
"USC00203712,2013-07-21,TMIN,156"
"USC00205050,2009-07-14,TMIN,94"
"USC00205451,2006-01-09,TMAX,56"
"USC00207308,2012-06-25,TMAX,311"
"USC00201250,2010-01-21,TMIN,-78"
"USC00205822,2006-03-29,TMAX,67"
"USW00004848,2009-01-30,TMAX,-27"
"USC00201250,2015-05-14,TMIN,22"
"USC00207308,2011-04-16,TMAX,128"
"USC00207312,2008-05-24,TMIN,56"
"USC00200220,2012-03-19,TMAX,233"
"USC00208202,2010-10-03,TMAX,111"
"USC00202308,2012-06-14,TMIN,100"
"USC00205451,2013-10-07,TMIN,72"
"USC00200032,2009-07-16,TMAX,278"
"USW00004848,2013-10-08,TMIN,50"
"USC00208202,2010-10-22,TMAX,122"
"USC00205451,2015-04-01,TMAX,72"
"USC00207320,2006-04-19,TMIN,33"
"USC00200032,2010-03-03,TMAX,33"
"USC00203712,2014-05-16,TMAX,100"
"USW00094889,2011-04-19,TMIN,6"
